conutry_name,year,value,country_code,iso3_code
World,1961,0.207,001,X01
World,1962,0.034,001,X01
World,1963,0.159,001,X01
World,1964,-0.253,001,X01
World,1965,-0.226,001,X01
World,1966,0.201,001,X01
World,1967,-0.114,001,X01
World,1968,-0.12,001,X01
World,1969,-0.09,001,X01
World,1970,0.153,001,X01
World,1971,-0.092,001,X01
World,1972,-0.195,001,X01
World,1973,0.275,001,X01
World,1974,-0.181,001,X01
World,1975,0.09,001,X01
World,1976,-0.311,001,X01
World,1977,0.271,001,X01
World,1978,0.004,001,X01
World,1979,0.225,001,X01
World,1980,0.33,001,X01
World,1981,0.439,001,X01
World,1982,0.078,001,X01
World,1983,0.452,001,X01
World,1984,0.12,001,X01
World,1985,-0.034,001,X01
World,1986,0.238,001,X01
World,1987,0.391,001,X01
World,1988,0.549,001,X01
World,1989,0.326,001,X01
World,1990,0.636,001,X01
World,1991,0.458,001,X01
World,1992,0.183,001,X01
World,1993,0.346,001,X01
World,1994,0.501,001,X01
World,1995,0.831,001,X01
World,1996,0.354,001,X01
World,1997,0.656,001,X01
World,1998,0.992,001,X01
World,1999,0.788,001,X01
World,2000,0.735,001,X01
World,2001,0.836,001,X01
World,2002,1.018,001,X01
World,2003,0.896,001,X01
World,2004,0.914,001,X01
World,2005,1.103,001,X01
World,2006,1.001,001,X01
World,2007,1.198,001,X01
World,2008,0.938,001,X01
World,2009,0.967,001,X01
World,2010,1.228,001,X01
World,2011,0.923,001,X01
World,2012,1.081,001,X01
World,2013,1.021,001,X01
World,2014,1.052,001,X01
World,2015,1.419,001,X01
World,2016,1.674,001,X01
World,2017,1.44,001,X01
World,2018,1.301,001,X01
World,2019,1.473,001,X01
